order_numer,number_of_orders_past_3_months,gross_sum_orders_past_3_months,numer_of_orders_future_3_months,gross_sum_orders_future_3_months
AD093912463,1,55.12,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
615600000000120000000000000005762602042021,1,10.69,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD093924649,1,70.34,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD093929376,1,60.65,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD093932730,2,386.1,2,386.1
AD094671835,2,386.1,2,386.1
AD093934092,1,97.85,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD093934605,1,148.8,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD093935141,1,22.26,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD093937284,1,291.22,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD093938146,1,20.0,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD093952676,1,119.76,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD093955807,1,91.19,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
620200000000050000000000000000780303042021,1,53.33,1,53.33
AD093971644,3,476.15,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094685260,3,476.15,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094685407,3,476.15,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
629800000000050000000000000002249703042021,1,118.24,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
614900000000050000000000000001475203042021,1,44.7,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
